Jahr,Berlin,Brandenburg,Baden-Württemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Hamburg,Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thüringen/Sachsen-Anhalt,Thüringen
1991,8.94,8.93,8.22,7.44,8.27,8.42,8.8,8.8,8.8,9.01,8.69,8.46,9.11,8.16,8.8,8.3,7.67
1992,9.91,9.9,9.12,8.6,9.22,9.34,9.89,9.9,9.9,9.97,9.54,9.53,9.82,9.3,9.91,9.37,8.7
1993,8.83,8.82,8.57,7.97,8.53,8.15,8.64,8.64,8.64,9.08,8.93,8.17,9.28,8.26,8.75,8.32,7.79
1994,9.9,9.89,9.88,9.35,9.74,9.23,9.84,9.84,9.84,10.26,10.14,9.31,10.54,9.45,9.97,9.59,9.11
1995,9.21,9.2,8.77,8.14,8.93,8.65,9.32,9.32,9.32,9.77,9.43,8.86,9.82,8.54,9.29,8.82,8.22
1996,7.36,7.35,7.42,6.7,7.21,6.93,7.46,7.47,7.47,7.93,7.78,7.16,8.3,6.63,7.28,6.88,6.39
1997,9.24,9.22,8.81,8.14,8.88,8.78,9.35,9.36,9.36,9.65,9.25,8.96,9.69,8.46,9.26,8.81,8.25
1998,9.49,9.48,8.92,8.41,8.97,8.89,9.48,9.48,9.48,9.69,9.25,8.99,9.49,8.89,9.59,9.12,8.54
1999,10.05,10.04,9.05,8.48,9.46,9.55,10.21,10.22,10.22,10.35,9.76,9.65,9.9,9.18,10.1,9.56,8.87
2000,10.41,10.39,9.71,9.12,9.77,9.74,10.27,10.27,10.27,10.5,10.09,9.81,10.29,9.82,10.39,9.93,9.36
2001,9.22,9.21,9.0,8.32,9.1,8.78,9.41,9.41,9.41,9.85,9.53,8.85,9.73,8.62,9.35,8.95,8.45
2002,9.76,9.75,9.55,8.98,9.55,9.42,9.88,9.88,9.88,10.28,10.05,9.62,10.29,9.2,9.7,9.32,8.84
2003,9.5,9.48,9.45,8.76,9.5,9.04,9.66,9.66,9.66,10.14,10.07,9.2,10.62,9.01,9.63,9.23,8.74
2004,9.3,9.29,8.7,8.17,8.87,8.95,9.53,9.54,9.54,9.58,9.23,9.12,9.54,8.62,9.34,8.88,8.29
2005,9.33,9.31,8.6,7.97,9.13,9.06,9.64,9.64,9.64,9.88,9.54,9.24,9.85,8.59,9.42,8.97,8.4
2006,9.98,9.96,9.19,8.55,9.49,9.66,10.22,10.23,10.23,10.35,9.94,9.88,10.26,9.24,10.02,9.51,8.87
2007,10.35,10.34,9.47,9.05,9.76,9.95,10.41,10.41,10.41,10.48,10.12,10.04,10.32,9.68,10.34,9.86,9.28
2008,10.12,10.11,9.08,8.73,9.35,9.71,9.99,9.99,9.99,9.87,9.55,9.74,9.73,9.41,10.01,9.54,8.95
2009,9.48,9.47,9.0,8.45,9.13,9.08,9.71,9.71,9.71,9.81,9.58,9.28,9.85,8.91,9.54,9.12,8.58
2010,8.09,8.08,7.93,7.34,7.9,7.69,8.11,8.11,8.11,8.43,8.37,7.67,8.71,7.46,7.99,7.64,7.2
2011,9.94,9.92,9.64,8.91,9.68,9.44,9.99,9.98,9.98,10.38,10.19,9.4,10.46,9.37,9.98,9.6,9.12
2012,9.36,9.35,9.08,8.53,9.06,8.85,9.45,9.45,9.45,9.66,9.46,8.8,9.72,8.86,9.44,9.06,8.59
2013,9.19,9.18,8.56,8.1,8.66,8.89,9.06,9.06,9.06,9.2,8.98,8.78,9.22,8.39,9.07,8.64,8.08
2014,10.67,10.66,10.14,9.6,10.31,10.24,10.79,10.8,10.8,10.95,10.67,10.48,10.93,10.14,10.68,10.29,9.79
2015,10.36,10.35,9.89,9.43,9.91,9.76,10.15,10.15,10.15,10.35,10.25,9.71,10.5,9.93,10.32,9.96,9.5
2016,10.0,9.98,9.29,8.88,9.44,9.62,9.94,9.94,9.94,10.11,9.76,9.61,9.9,9.37,10.08,9.63,9.03
2017,9.92,9.91,9.4,8.83,9.56,9.47,9.97,9.97,9.97,10.31,10.01,9.57,10.21,9.39,10.03,9.63,9.1
2018,10.84,10.82,10.38,9.89,10.52,10.2,10.73,10.73,10.73,11.02,10.84,10.18,11.1,10.29,10.88,10.46,9.91
2019,11.07,11.05,9.87,9.5,10.13,10.45,10.67,10.67,10.67,10.74,10.45,10.18,10.71,10.35,10.93,10.43,9.78
